Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
50Vs5	UPS	>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	5	5	5	48.5	48.5	48.5	14.701	2.05E+08	1.98E+08	2.05E+08		2.26E+07	7.63E+06
50Vs5	UPS	>P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	>P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	10	10	10	28.3	28.3	28.3	38.814	2.49E+08	2.42E+08	2.56E+08		1.90E+07	1.89E+07
50Vs5	UPS	>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	16	16	16	60.5	60.5	60.5	35.805	5.13E+08	5.23E+08	4.90E+08		3.02E+07	2.60E+07
50Vs5	UPS	>P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	>P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	3	3	3	44.4	44.4	44.4	8.3857	7.91E+07	1.05E+08	1.01E+08		1.85E+07	9.33E+06
50Vs5	UPS	>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	10	10	10	87.7	87.7	87.7	15.867	2.72E+08	2.59E+08	2.68E+08		3.01E+07	3.36E+07
50Vs5	UPS	>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	10	10	10	53.5	53.5	53.5	28.739	1.95E+08	2.02E+08	1.96E+08	7.56E+07	8.59E+06	1.48E+07
50Vs5	UPS	>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	7	7	7	44.3	44.3	44.3	25.5	7.58E+07	7.96E+07	9.30E+07		3.68E+07	2.44E+07
25Vs12.5	UPS	>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);CON__Q3SX14	>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin	19	19	19	32.6	32.6	32.6	82.958	3.17E+08	3.13E+08	3.26E+08	1.57E+08	1.55E+08	1.53E+08
25Vs12.5	UPS	>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	13	13	13	40.7	40.7	40.7	43.101	2.02E+08	1.98E+08	1.95E+08	9.58E+07	9.39E+07	9.16E+07
25Vs12.5	UPS	>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	4	4	4	41.5	41.5	41.5	14.701	1.02E+08	9.65E+07	9.65E+07	4.77E+07	4.80E+07	4.71E+07
25Vs12.5	UPS	>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	6	6	6	33.1	33.1	33.1	28.739	7.89E+07	8.26E+07	8.22E+07	3.81E+07	3.73E+07	3.90E+07
25Vs12.5	UPS	CON__P02768-1;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	24	24	24	46.6	46.6	46.6	69.366	4.05E+08	4.08E+08	3.99E+08	1.98E+08	1.90E+08	2.02E+08
25Vs12.5	UPS	>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	17	17	17	31.2	31.2	31.2	75.181	2.22E+08	2.17E+08	2.19E+08	1.10E+08	1.10E+08	1.01E+08
25Vs12.5	UPS	>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	12	12	12	45.5	45.5	45.5	35.805	1.39E+08	1.46E+08	1.37E+08	7.09E+07	7.51E+07	6.99E+07
25Vs12.5	UPS	>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	3	3	3	24.5	24.5	24.5	16.776	7.31E+07	7.56E+07	7.70E+07	3.20E+07	3.30E+07	3.58E+07
25Vs12.5	UPS	>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	3	3	3	37.3	37.3	37.3	15.804	4.83E+07	5.14E+07	5.10E+07	2.41E+07	2.44E+07	2.62E+07
25Vs12.5	UPS	>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	6	6	6	30.1	30.1	30.1	29.114	1.23E+08	1.31E+08	1.16E+08	5.99E+07	5.99E+07	5.87E+07
25Vs12.5	UPS	>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	3	3	3	42.4	42.4	42.4	11.731	3.61E+07	3.73E+07	4.06E+07	1.78E+07	1.80E+07	1.84E+07
25Vs12.5	UPS	>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	5	5	5	49	49	49	11.617	3.33E+07	3.15E+07	3.32E+07	1.68E+07	1.50E+07	1.58E+07
25Vs12.5	UPS	>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	28	28	28	52	52	52	76.164	4.63E+08	4.60E+08	4.48E+08	2.49E+08	2.29E+08	2.23E+08
25Vs12.5	UPS	>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	8	8	8	64.6	64.6	64.6	15.494	1.00E+08	1.05E+08	1.13E+08	4.90E+07	5.15E+07	5.11E+07
25Vs12.5	UPS	>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	4	4	4	32.7	32.7	32.7	17.052	6.97E+07	7.11E+07	6.75E+07	3.04E+07	3.42E+07	3.35E+07
25Vs12.5	UPS	>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	1	1	1	10.8	10.8	10.8	8.2736	9.70E+06	9.91E+06	1.09E+07		4.20E+06	
25Vs12.5	UPS	>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	20	20	20	41.3	41.3	41.3	59.624	2.51E+08	2.47E+08	2.60E+08	1.39E+08	1.24E+08	1.28E+08
25Vs12.5	UPS	>P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	>P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	18	18	17	37.1	37.1	35.3	58.233	1.86E+08	1.93E+08	1.81E+08	9.30E+07	8.64E+07	8.13E+07
25Vs12.5	UPS	>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	9	9	9	76.7	76.7	76.7	15.867	1.42E+08	1.40E+08	1.35E+08	6.56E+07	7.44E+07	6.94E+07
25Vs12.5	UPS	>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	13	13	13	43.6	43.6	43.6	45.718	2.63E+08	2.85E+08	2.98E+08	1.36E+08	1.24E+08	1.27E+08
25Vs12.5	UPS	>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	6	1	1	34	10.3	10.3	17.965	1.80E+07	1.85E+07	1.68E+07	9.89E+06	1.05E+07	1.04E+07
25Vs12.5	UPS	>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	6	6	6	25.3	25.3	25.3	30.736	9.24E+07	8.35E+07	8.41E+07	4.29E+07	4.23E+07	4.61E+07
25Vs12.5	UPS	>P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	>P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	3	3	3	18.6	18.6	18.6	22.227	3.76E+07	3.87E+07	3.66E+07	1.93E+07	1.89E+07	1.69E+07
25Vs12.5	UPS	>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	4	4	4	30.2	30.2	30.2	21.298	3.57E+07	3.96E+07	3.96E+07	1.99E+07	1.90E+07	2.08E+07
25Vs12.5	UPS	>P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	>P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	2	2	2	20	20	20	12.429	2.52E+07	2.74E+07	2.50E+07	1.43E+07	1.43E+07	1.54E+07
25Vs12.5	UPS	>P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	>P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	7	7	7	59.1	59.1	59.1	14.727	7.22E+07	8.15E+07	7.37E+07	3.55E+07	3.10E+07	3.29E+07
25Vs12.5	UPS	>P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	>P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	7	7	7	40.5	40.5	40.5	20.176	6.48E+07	6.72E+07	6.33E+07	2.98E+07	3.15E+07	3.47E+07
25Vs12.5	UPS	>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	8	8	8	45.7	45.7	45.7	25.821	1.74E+08	2.08E+08	2.00E+08	8.42E+07	8.36E+07	8.98E+07
25Vs12.5	UPS	>O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	>O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	7	7	7	62.7	62.7	62.7	20.475	1.95E+08	1.80E+08	1.85E+08	1.00E+08	9.77E+07	8.69E+07
25Vs12.5	UPS	>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	4	4	4	48.6	48.6	48.6	12.294	4.01E+07	4.12E+07	3.85E+07	1.97E+07	1.63E+07	1.85E+07
25Vs12.5	UPS	>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	3	3	3	73.1	73.1	73.1	7.4754	9.25E+07	9.17E+07	8.69E+07	5.38E+07	4.62E+07	4.97E+07
25Vs12.5	UPS	>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	5	5	5	23.7	23.7	23.7	21.979	1.09E+08	1.27E+08	1.14E+08	5.94E+07	6.02E+07	5.31E+07
25Vs12.5	UPS	>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	15	15	15	44.9	44.9	44.9	49.039	1.44E+08	1.42E+08	1.44E+08	6.53E+07	7.27E+07	8.08E+07
25Vs12.5	UPS	>P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	>P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	4	4	4	39.5	39.5	39.5	17.352	1.54E+08	1.38E+08	1.41E+08	6.83E+07	8.01E+07	7.82E+07
25Vs12.5	UPS	>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	4	4	4	36.7	36.7	36.7	16.157	1.48E+08	1.48E+08	1.51E+08	5.70E+07	6.96E+07	7.46E+07
25Vs12.5	UPS	>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	6	6	6	47.7	47.7	47.7	21.994	1.34E+08	1.11E+08	1.27E+08	6.32E+07	6.67E+07	5.82E+07
25Vs12.5	UPS	>P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	>P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	9	9	9	28.6	28.6	28.6	38.814	8.69E+07	9.15E+07	8.24E+07	5.49E+07	4.58E+07	4.51E+07
25Vs12.5	UPS	>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	5	5	5	39	39	39	14.078	7.03E+07	7.15E+07	7.30E+07	2.96E+07	3.64E+07	4.00E+07
25Vs12.5	UPS	>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	1	1	1	24.1	24.1	24.1	6.3532	1.45E+07	1.57E+07	1.28E+07	8.66E+06	7.83E+06	7.16E+06
25Vs12.5	UPS	>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	2	2	2	13.9	13.9	13.9	23.01	2.93E+07	3.04E+07	2.65E+07	1.95E+07	1.86E+07	1.64E+07
25Vs12.5	UPS	>P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	>P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	1	1	1	22.2	22.2	22.2	8.3857	2.43E+07	2.39E+07	2.81E+07	1.05E+07	1.36E+07	1.54E+07
25Vs12.5	UPS	>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	3	3	3	23.4	23.4	23.4	23.224	3.00E+07	3.24E+07	2.61E+07	1.66E+07	1.78E+07	1.24E+07
25Vs12.5	UPS	>P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	>P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	3	3	3	30.7	30.7	30.7	16.153	8.43E+07	9.02E+07	8.45E+07	2.11E+07	4.57E+07	4.40E+07
25Vs12.5	UPS	>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	3	3	3	12.5	12.5	12.5	23.251	2.66E+07	3.86E+07	2.77E+07	1.76E+07	1.94E+07	2.36E+07
25Vs12.5	UPS	>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	1	1	1	17.3	17.3	17.3	9.0714	1.76E+07	2.25E+07	2.06E+07		1.26E+07	9.83E+06
25Vs12.5	UPS	>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	4	4	4	24.9	24.9	24.9	25.5	5.09E+07	4.28E+07	3.39E+07	2.56E+07	3.54E+07	3.07E+07
25Vs12.5	UPS	>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	3	3	3	39.2	39.2	39.2	18.007	3.50E+07	2.40E+07	2.80E+07		1.50E+07	1.83E+07
50Vs5	yeast	A6ZRR2;B3LP25;C7GTE8;C8ZG55;P53885	>sp|A6ZRR2|MDG1_YEAS7 Signal transduction protein MDG1 OS=Saccharomyces cerevisiae (strain YJM789) GN=MDG1 PE=3 SV=1;>sp|B3LP25|MDG1_YEAS1 Signal transduction protein MDG1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=MDG1 PE=3 SV=1;>sp|C7GTE8|MDG1_YEAS2	1	1	1	3	3	3	40.308				8.51E+05	8.24E+05	8.27E+05
50Vs0.5	yeast	A6ZRR2;B3LP25;C7GTE8;C8ZG55;P53885	>sp|A6ZRR2|MDG1_YEAS7 Signal transduction protein MDG1 OS=Saccharomyces cerevisiae (strain YJM789) GN=MDG1 PE=3 SV=1;>sp|B3LP25|MDG1_YEAS1 Signal transduction protein MDG1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=MDG1 PE=3 SV=1;>sp|C7GTE8|MDG1_YEAS2	1	1	1	3	3	3	40.308				9.17E+05	9.11E+05	8.04E+05
50Vs0.5	yeast	P41056	>sp|P41056|RL33B_YEAST 60S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL33B PE=1 SV=2	5	5	1	43	43	15	12.168	1.98E+07	1.69E+07	1.96E+07			
50Vs0.5	yeast	P13574	>sp|P13574|STE12_YEAST Protein STE12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE12 PE=1 SV=1	1	1	1	1.2	1.2	1.2	77.866	2.22E+06	2.86E+06	2.50E+06	2.37E+07	2.58E+07	2.85E+07
50Vs5	yeast	P22147	>sp|P22147|XRN1_YEAST 5-3 exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KEM1 PE=1 SV=1	1	1	1	1.2	1.2	1.2	175.46	4.21E+05	4.66E+05	6.56E+05			
50Vs5	yeast	P01098	>sp|P01098|STF1_YEAST ATPase-stabilizing factor 9 kDa, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STF1 PE=1 SV=2	2	2	2	18.6	18.6	18.6	10.062	5.38E+06	6.63E+06	7.01E+06	2.79E+06	2.82E+06	3.01E+06
50Vs5	yeast	P04050;P10964	>sp|P04050|RPB1_YEAST DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO21 PE=1 SV=2;>sp|P10964|RPA1_YEAST DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508	2	2	2	1	1	1	191.61	7.12E+06	7.88E+06	7.80E+06		3.59E+06	3.29E+06
50Vs5	yeast	P49573	>sp|P49573|CTR1_YEAST Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTR1 PE=1 SV=1	3	3	3	9.1	9.1	9.1	44.441	1.25E+06	1.09E+06	9.48E+05	2.58E+06	2.26E+06	2.59E+06
25Vs12.5	yeast	P09201	>sp|P09201|F16P_YEAST Fructose-1,6-bisphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FBP1 PE=1 SV=2	1	1	1	4	4	4	38.262	8.35E+06	6.86E+06	9.72E+06			
25Vs12.5	yeast	P25623	>sp|P25623|SYP1_YEAST Suppressor of yeast profilin deletion OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYP1 PE=1 SV=3	2	2	2	3.2	3.2	3.2	96.136	3.72E+06	4.19E+06	3.79E+06	5.51E+06	5.10E+06	5.13E+06
50Vs5	yeast	P0C0T4;Q3E792	>sp|P0C0T4|RS25B_YEAST 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25B PE=1 SV=1;>sp|Q3E792|RS25A_YEAST 40S ribosomal protein S25-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25A PE=1 SV=1	3	3	3	22.2	22.2	22.2	12.009	5.46E+07	5.02E+07	4.64E+07	2.09E+07	3.16E+07	2.34E+07
25Vs12.5	yeast	P22336	>sp|P22336|RFA1_YEAST Replication factor A protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFA1 PE=1 SV=1	2	2	2	4.7	4.7	4.7	70.347	3.17E+06	2.98E+06	2.85E+06	4.73E+06	4.94E+06	3.59E+06
25Vs12.5	yeast	P37299	>sp|P37299|QCR10_YEAST Cytochrome b-c1 complex subunit 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR10 PE=1 SV=2	1	1	1	24.7	24.7	24.7	8.5928	4.23E+06	3.47E+06	4.65E+06	5.23E+06	5.58E+06	5.84E+06
25Vs12.5	yeast	P47122	>sp|P47122|NPA3_YEAST GTPase NPA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPA3 PE=1 SV=1	1	1	1	3.1	3.1	3.1	43.194	2.69E+06	3.18E+06	3.29E+06	2.56E+06	2.43E+06	2.18E+06
25Vs12.5	yeast	P17076	>sp|P17076|RL8A_YEAST 60S ribosomal protein L8-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL8A PE=1 SV=4	15	1	1	54.7	5.1	5.1	28.124	7.72E+06	4.86E+06	5.95E+06	2.60E+06	4.47E+06	2.96E+06
50Vs5	yeast	O43137	>sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR085C-A PE=1 SV=1	3	3	3	30.6	30.6	30.6	9.4044		8.37E+06		1.05E+07	1.08E+07	1.07E+07
25Vs12.5	yeast	P43598	>sp|P43598|YFI7_YEAST Uncharacterized protein YFR017C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR017C PE=1 SV=1	1	1	1	9.2	9.2	9.2	21.783	1.82E+06	2.22E+06	1.96E+06			2.30E+06
50Vs5	yeast	A6ZZ25;Q04067	>sp|A6ZZ25|EIF3G_YEAS7 Eukaryotic translation initiation factor 3 subunit G OS=Saccharomyces cerevisiae (strain YJM789) GN=TIF35 PE=3 SV=1;>sp|Q04067|EIF3G_YEAST Eukaryotic translation initiation factor 3 subunit G OS=Saccharomyces cerevisiae (strain ATCC 	2	2	2	11.3	11.3	11.3	30.474	7.97E+06	3.25E+06	8.99E+06	1.48E+07	1.39E+07	1.26E+07
50Vs5	yeast	P07143	>sp|P07143|CY1_YEAST Cytochrome c1, heme protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYT1 PE=1 SV=1	2	2	2	9.4	9.4	9.4	34.054	1.18E+07	1.28E+07	1.21E+07		8.88E+06	8.38E+06
25Vs12.5	yeast	P21734	>sp|P21734|UBC1_YEAST Ubiquitin-conjugating enzyme E2 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC1 PE=1 SV=1	1	1	1	7	7	7	24.178	5.25E+06	5.44E+06	4.33E+06	3.52E+06	4.57E+06	3.16E+06
